date,symbol,open,high,low,close,Volume ETH,tradecount
23/05/2021 22:00,ETH/USDT,2094.98,2150,2040.69,2063.15,81087.67361,115965
23/05/2021 21:00,ETH/USDT,2066.18,2149.5,2062.33,2094.77,85829.15681,125364
23/05/2021 20:00,ETH/USDT,1968.1,2097,1967.61,2066.19,125269.6427,156541
23/05/2021 19:00,ETH/USDT,1897.13,1995.3,1875.01,1968.09,115432.2479,131670
23/05/2021 18:00,ETH/USDT,1913.51,1950.36,1817,1896.84,114595.0452,151077
23/05/2021 17:00,ETH/USDT,1848.11,1999,1841.54,1913.83,181021.378,205274
23/05/2021 16:00,ETH/USDT,1924.95,1960.84,1728.74,1848.11,302865.3786,358886
23/05/2021 15:00,ETH/USDT,1977.18,1986,1895.46,1924.79,117371.2544,148238
23/05/2021 14:00,ETH/USDT,1968.58,2020.25,1907.41,1977.18,161932.2173,182275
23/05/2021 13:00,ETH/USDT,1938.47,1979.75,1866.29,1968.56,235091.2002,284507
23/05/2021 12:00,ETH/USDT,2115.5,2138.27,1900,1938.52,209520.7548,259076
23/05/2021 11:00,ETH/USDT,2112.77,2151.48,2077.15,2115.49,84717.30151,109208
23/05/2021 10:00,ETH/USDT,2033.64,2174.82,2026.96,2112.76,145100.7769,169894
23/05/2021 09:00,ETH/USDT,2032.42,2091.34,1986,2033.76,210253.6432,251454
23/05/2021 08:00,ETH/USDT,2158.01,2158.14,2000,2033.84,232921.0096,311034
23/05/2021 07:00,ETH/USDT,2213.19,2222.05,2127.63,2157.64,90598.00618,140622
23/05/2021 06:00,ETH/USDT,2231.9,2261.09,2184.59,2213.18,72787.22419,131785
23/05/2021 05:00,ETH/USDT,2284.93,2284.93,2201.38,2231.9,70082.1244,102347
23/05/2021 04:00,ETH/USDT,2317.8,2317.8,2270,2285.32,38725.01558,60578
23/05/2021 03:00,ETH/USDT,2294.09,2333.9,2280.18,2317.8,36164.44308,57273
23/05/2021 02:00,ETH/USDT,2340.99,2354.76,2272.83,2294.09,41798.82276,61234
23/05/2021 01:00,ETH/USDT,2362,2381.57,2339.2,2340.99,30292.40441,51084
23/05/2021 00:00,ETH/USDT,2295.45,2363.1,2252.51,2361.95,72603.88505,105944
22/05/2021 23:00,ETH/USDT,2337.78,2371.75,2283,2294.87,35976.31152,54716
22/05/2021 22:00,ETH/USDT,2364.68,2383.83,2314.49,2337.79,47752.1346,69688
22/05/2021 21:00,ETH/USDT,2353.36,2380,2340.45,2364.44,25678.00838,50865
22/05/2021 20:00,ETH/USDT,2255.05,2369.41,2254.58,2353.51,48866.01377,80191
22/05/2021 19:00,ETH/USDT,2294.64,2326.39,2251.16,2255.05,49699.03937,78458
22/05/2021 18:00,ETH/USDT,2286.1,2302.85,2266.09,2294.64,44333.46128,70442
22/05/2021 17:00,ETH/USDT,2353.19,2371.06,2265.45,2286.21,63585.14171,99837
22/05/2021 16:00,ETH/USDT,2367.21,2397,2322.91,2352.57,55868.07148,92265
22/05/2021 15:00,ETH/USDT,2362.17,2397.46,2290.32,2367.21,77438.24938,116818
22/05/2021 14:00,ETH/USDT,2437.66,2453.46,2325,2362.17,76685.31198,118197
22/05/2021 13:00,ETH/USDT,2391.42,2483.3,2380.46,2437.66,64693.80437,119143
22/05/2021 12:00,ETH/USDT,2415.29,2453.94,2376.03,2391.43,66509.81194,100244
22/05/2021 11:00,ETH/USDT,2462.71,2475,2392.89,2415.54,61090.60092,96382
22/05/2021 10:00,ETH/USDT,2363.07,2478,2312.5,2463.32,95557.05098,146221
22/05/2021 09:00,ETH/USDT,2346.69,2387.75,2278.94,2362.04,76230.20007,117604
22/05/2021 08:00,ETH/USDT,2248.56,2372.97,2246.56,2346.69,82535.19608,127423
22/05/2021 07:00,ETH/USDT,2249.99,2259.88,2185.33,2248.57,65189.30894,96130
22/05/2021 06:00,ETH/USDT,2232.96,2257.33,2170.09,2249.99,95269.04403,129525
22/05/2021 05:00,ETH/USDT,2267.17,2291.64,2145,2233.14,146656.3134,191291
22/05/2021 04:00,ETH/USDT,2329.54,2351.45,2212.18,2266.77,116255.0034,144056
22/05/2021 03:00,ETH/USDT,2392.43,2416.76,2305.32,2329.99,88046.18511,114948
22/05/2021 02:00,ETH/USDT,2446.18,2485,2377.36,2392.42,70591.64512,87523
22/05/2021 01:00,ETH/USDT,2447.62,2484.02,2410,2446.21,59088.84976,83131
22/05/2021 00:00,ETH/USDT,2430.98,2466.5,2381.75,2447.6,70723.254,99636
21/05/2021 23:00,ETH/USDT,2379.68,2434.36,2350,2430.98,77841.37096,111252
21/05/2021 22:00,ETH/USDT,2388.38,2436.76,2331.23,2379.95,118859.7387,150616
21/05/2021 21:00,ETH/USDT,2247.91,2394.5,2101,2389.96,235790.5151,284045
21/05/2021 20:00,ETH/USDT,2349.95,2374.8,2237,2247.91,172435.5782,204167
21/05/2021 19:00,ETH/USDT,2475.66,2476.67,2306,2349.5,159946.5829,186514
21/05/2021 18:00,ETH/USDT,2491.71,2491.72,2380,2475,98734.04531,122431
21/05/2021 17:00,ETH/USDT,2450.67,2502.02,2423.67,2491.71,125064.2063,134712
21/05/2021 16:00,ETH/USDT,2420.39,2518.86,2354.36,2450.93,218621.5175,253521
21/05/2021 15:00,ETH/USDT,2520.48,2579,2398,2420.69,254039.8356,277538
21/05/2021 14:00,ETH/USDT,2723.95,2763.09,2378,2520.48,357639.298,437599
21/05/2021 13:00,ETH/USDT,2649.65,2732.65,2633.48,2723.95,53687.70752,78933
21/05/2021 12:00,ETH/USDT,2712.37,2738.02,2639.47,2649.65,64826.63213,105001
